Year,Gold Troy ounce price
1901,18.97314833
1902,18.94204481
1903,18.94204481
1904,18.91094129
1905,18.87983776
1906,18.91094129
1907,18.94204481
1908,18.94204481
1909,18.94204481
1910,18.91094129
1911,18.91094129
1912,18.94204481
1913,18.91094129
1914,18.97314833
1915,19.15976946
1916,19.37749411
1917,19.56411524
1918,19.75073638
1919,19.93735751
1920,20.52832442
1921,20.59053147
1922,20.74604908
1923,20.65273851
1924,20.68384203
1925,20.65273851
1926,20.62163499
1927,20.65273851
1928,20.68384203
1929,20.62163499
1930,20.59053147
1931,22.4878463
1932,20.68384203
1933,26.34468301
1934,34.83594447
1935,34.83594447
1936,34.83594447
1937,34.83594447
1938,34.83594447
1939,34.52490926
1940,33.90283882
1941,33.90283882
1942,33.90283882
1943,33.90283882
1944,33.90283882
1945,34.83594447
1946,34.83594447
1947,34.83594447
1948,34.83594447
1949,31.72559229
1950,34.83594447
1951,34.83594447
1952,34.52490926
1953,34.83594447
1954,35.14697969
1955,35.14697969
1956,35.14697969
1957,34.83594447
1958,35.14697969
1959,35.14697969
1960,35.14697969
1961,35.14697969
1962,35.14697969
1963,35.14697969
1964,35.14697969
1965,35.14697969
1966,35.14697969
1967,35.14697969
1968,40.12354319
1969,41.36768406
1970,36.39112057
1971,41.36768406
1972,58.47462108
1973,97.66505861
1974,159.8721023
1975,161.4272784
1976,125.3471931
1977,148.3637992
1978,193.4639059
1979,307.6138311
1980,612.7393805
1981,460.3321234
1982,376.3526144
1983,423.0078972
1984,360.8008535
1985,317.2559229
1986,367.0215579
1987,478.9942365
1988,438.5596581
1989,382.5733188
1990,385.683671
1991,363.9112057
1992,345.2490926
1993,360.8008535
1994,385.683671
1995,385.683671
1996,388.7940231
1997,332.8076838
1998,295.1724224
1999,279.9316967
2000,280.2427319
2001,272.1558162
2002,311.0352185
2003,363.9112057
2004,410.5664884
2005,444.7803625
2006,606.5186761
2007,699.8292417
2008,874.008964
2009,973.540234
2010,1228.589113
2011,1573.838206
2012,1673.369476
2013,1415.210244
2014,1269.023692
2015,1163.271717
2016,1253.471931
2017,1259.692635
2018,1272.134044
2019,1396.548131
2020,1772.900746
2021,1800.893915
2022,1800.893915
2023,1945
2024,2400